ArtistID,Name
0,James Barton Longacre
1,Christian Gobrecht
2,Bela Lyon Pratt
3,Mexican Artist
4,James Gillinder and Sons
5,Forestville Manufacturing Company
6,Paulding Farnham
7,Tiffany & Co.
8,Conrad Henninger
9,Pierre Stephan
10,New England Glass Company
11,Union Glass Company
12,John Bailey
13,James Davis
14,John Molineux
15,Revere and Son
16,Paul Revere Jr.
17,Louis Comfort Tiffany
18,Tiffany Glass and Decorating Company
19,Richard Wittingham
20,Stanford White
21,Augustus Truesdale
22,Messenger Company
23,John Singer Sargent
24,John Gaines III
25,Wood and Hughes
26,Gustave Herter
27,Thomas Affleck
28,Henry Connelly
29,"J. S. Ford, Johnson and Company"
30,Solomon Fussell
31,Herter Brothers
32,Heywood Brothers and Wakefield Company
33,Hudson and Brooks
34,George Jakob Hunzinger
35,George Washington Maher
36,Léon Marcotte
37,Marks Adjustable Folding Chair Company
38,Samuel McIntire
39,John and Joseph W. Meeks
40,North American Iron Works
41,Charles-Honoré Lannuier
42,Duncan Phyfe
43,Pottier and Stymus Manufacturing Company
44,Henry Hobson Richardson
45,Frank Lloyd Wright
46,John Jelliff
47,Joseph Meeks & Sons
48,Auguste-Émile Rinquet-Leprince
49,Tobey Furniture Company
50,Archer and Warner
51,Henry N. Hooper
52,Tiffany Studios
53,Agnes F. Northrop
54,Thomas Danforth Boardman
55,Henry Kellam Hancock
56,Pierre Charles L'Enfant
57,Louis Henry Sullivan
58,Winslow Brothers Company
59,Dankmar Adler
60,Yale and Towne Manufacturing Company
61,Curtis and Dunning
62,Aaron Willard Jr.
63,Boston & Sandwich Glass Company
64,Samuel Danforth
65,William Bradford Jr.
66,Josiah Danforth
67,Thomas S. Derby
68,J. Eberly and Company
69,Samuel Green
70,Sylvester Griswold
71,Samuel Hamlin
72,Samuel Ely Hamlin
73,Gershom Jones
74,George Lightner
75,"Lyman, Fenton & Co."
76,John Skinner
77,United States Pottery Company
78,Joseph Leddel Sr.
79,Joseph Leddel Jr.
80,William Hook
81,Myer Myers
82,Laurent Amyot (Amiot)
83,Taylor and Lawrie
84,Bailey and Kitchen
85,Adrian Bancker
86,Jurian Blanck Jr.
87,Sherman Boardman
88,Timothy Boardman
89,Benjamin Burt
90,Denis Colombier
91,Samuel Drowne
92,Cary Dunn
93,Joseph Edwards Jr.
94,John Goodhue
95,"Gregg, Hayden and Company"
96,Ashbil Griswold
97,George Hanners Sr.
98,John Hull
99,Robert Sanderson Sr.
100,Isaac Hutton
101,Edward Kinsey
102,Thomas Lynde
103,David Moseley
104,"William Moulton, IV"
105,Thomas Richards
106,Joseph Russell
107,Moody Russell
108,Shepherd and Boyd
109,Oliver Trask
110,S. D.
111,C. White
112,Benjamin Wynkoop
113,Jacob Jacobse Lansing
114,Parker Pottery
