CountryID,Country
0,Mexico
1,Guatemala
2,United States
3,England
4,Spain
5,Netherlands
6,France
7,Canada
8,China
9,Italy
10,Japan
11,Germany
12,Czech Republic
13,Ireland
14,Venezuela
15,Belgium
16,Bermuda
17,India
18,New Zealand
19,
20,Scotland
21,Denmark
22,Finland
23,Wales
24,Switzerland
25,Portugal
26,Paraguay
27,Tibet
28,Iran
29,Russia
30,Turkey
31,British Isles
32,Peru
33,Colombia
34,Tanzania
35,Brazil
36,Flanders
37,Ecuador
38,Philippines
39,Bolivia
40,Cuba
41,Papua New Guinea
42,Republic of the Congo
43,Africa
44,Costa Rica
45,Panama
46,Ethiopia
47,Indonesia
48,Colombia 
49,Philippines 
50,Tonga
51,Samoa
52,Chile
53,Nigeria
54,Australia
55,Cameroon
56,Mali
57,Burkina Faso
58,Solomon Islands
59,Liberia
60,Côte d'Ivoire
61,Honduras
62,Sudan
63,Vanuatu
64,Angola
65,Togo
66,Ghana
67,Peru 
68,Ecuador 
69,Costa Rica 
70,Fiji
71,Gabon
72,Sierra Leone
73,Republic of Palau
74,Suriname
75,Guinea
76,Rwanda
77,Zambia
78,Republic of Congo
79,Republic of Benin
80,African Republic
81,Nigeria 
82,Republic of Guinea-Bissau
83,Cabinda
84,Madagascar
85,Uganda
86,Kenya
87,France Polynesia
88,New Caledonia
89,Republic of the Marshall Islands
90,Marquesas Islands
91,Tahiti
92,Austria
93,Chad
94,Somalia
95,Dominican Republic 
96,France Guiana
97,Puerto Rico
98,Mexico 
99,Argentina
100,Brazil 
101,Dominican Republic
102,Cook Islands
103,Federated States of Micronesia
104,Mangareva
105,Wallis
106,Nauru
107,Malawi
108,El Salvador
109,Ghana 
110,Republic of Kiribati
111,Zimbabwe
112,Republic of Timor-Leste
113,Taiwan
114,Malaysia
115,Vietnam
116,Niger
117,Bolivia 
118,Guatemala 
119,Laos
120,Cote d'Ivoire
121,Namibia
122,Nicaragua
123,Greenland
124,Republic of Benin 
125,Krinjabo
126,Senegal
127,Tunisia
128,Côte d’Ivoire
129,Egypt
130,Urundi
131,France Congo
132,France Dahomey
133,Dahomey
134,Brazzaville
135,Equatorial Guinea
136,Guinea Bissau
137,Zanzibar
138,India 
139,New Guinea
140,Iraq
141,Syria
142,Pakistan
143,Greece
144,Bulgaria
145,Bosnia
146,Saudi Arabia
147,Hungary
148,Yemen
149,Albania
150,Morocco
151,Algeria
152,Afghanistan
153,Cyprus
154,Sri Lanka
155,Uzbekistan
156,Asia
157,Armenia
158,Azerbaijan
159,Israel
160,Poland
161,Palestine
162,Bangladesh
163,Turkmenistan
164,Tunesia
165,Lebanon
166,Jazira
167,Jordan
168,Islamic Lands
169,Epypt
170,Nepal
171,Bohemia
172,Italy 
173,Byzantine Egypt
174,Europe
175,Nicomedia
176,TIrana
177,Norway
178,Adriatic
179,Syria 
180,Mediterranean
181,Sweden
182,France 
183,Russian Federation
184,La Tène II
185,Gaul
186,Alamania
187,Niederbreisig
188,Rhein
189,Scandinavia
190,Gotland
191,Iberian Peninsula
192,Germany 
193,Brussels
194,Rome
195,Switzerland 
196,Lake Van
197,GaulFrance
198,Ukraine
199,Black Sea
200,Constantinople
201,Haute Garonne.
202,Carpathian Basin
203,Damascus
204,Constaninople 
205,Jerusalem 
206,Constantinople 
207,Alexandria
208,Antioch
209,Early Islamic Palestine
210,Caesarea
211,Jerusalem
212,Emesa 
213,Tiberias
214,Gerasa Jerash
215,Amman
216,Alexandria 
217,Darabjird
218,Scandinavia Sweden
219,Crete 
220,America
221,United Kingdom
222,Korea
223,Myanmar
224,Thailand
225,Croatia
226,Borneo
227,Persia
228,Georgia
229,Arabia
230,Montenegro
231,Arabian Peninsula
232,Yugoslavia
233,Dem. Rep. of Congo
234,Congo
235,Mozambique
236,Benin
237,Republic of Cameroon
238,Guyana
239,New Guinea Phillipine
240,Marshall Islands
241,Sarawak
242,Romania
243,Slovakia
244,Friesland
245,Norfolk Island
246,Sulawesi Celebes
247,Czech Republic Bohemia
248,Gambia
249,Malta
250,Republic of Costa Rica
251,Sumatra
252,Leo
253,Tajikistan
254,Czechoslovakia
255,Serbia
256,Mongolia
257,Flemish
258,Republic of Guinea
259,Cambodia
260,Austria Germany
261,Mauritania
262,Kosova
263,Bhutan
264,Burma
265,Macedonia
266,Slovenia
267,Philippine Islands
268,United Kingdom 
269,Republic of the Philippines
270,Myanmar Burma
271,Burmah
272,Sulawesi
273,Philippine
274,Herzegovina
275,Ireland 
276,Austria 
277,Belgium 
278,Azerbaijian
279,Republic of Madagascar
280,Canaan
281,Surinam
282,Anatolia
283,Khurasan
284,Burkina Faso 
285,Anatolia 
286,Byzantium
287,The Holy Land
288,Latin Kingdom of Jerusalem
289,Unknown
290,Caucasus
